Date,River_flow
2001-01-01,6399.53
2001-01-02,4480.7
2001-01-03,3972.81
2001-01-04,2702.43
2001-01-05,10100.54
2001-01-06,16903.37
2001-01-07,28680.82
2001-01-08,39591.74
2001-01-09,46276.62
2001-01-10,20627.88
2001-01-11,14037.81
2001-01-12,7910.0
2001-01-13,4834.26
2001-01-14,4944.37
2001-01-15,4768.42
2001-01-16,4823.92
2001-01-17,4678.33
2001-01-18,4759.96
2001-01-19,4594.37
2001-01-20,4616.0
2001-01-21,4501.83
2001-01-22,4510.11
2001-01-23,4405.88
2001-01-24,4426.06
2001-01-25,4316.1
2001-01-26,4374.9
2001-01-27,4255.42
2001-01-28,4339.84
2001-01-29,4209.18
2001-01-30,4283.88
2001-01-31,4204.58
2001-02-01,6292.15
2001-02-02,4339.59
2001-02-03,3972.81
2001-02-04,2918.16
2001-02-05,9763.21
2001-02-06,16054.13
2001-02-07,29612.97
2001-02-08,42198.61
2001-02-09,46336.38
2001-02-10,19311.48
2001-02-11,13765.98
2001-02-12,7999.89
2001-02-13,3937.83
2001-02-14,3876.43
2001-02-15,3794.31
2001-02-16,4050.19
2001-02-17,3878.71
2001-02-18,3754.78
2001-02-19,3642.04
2001-02-20,3531.75
2001-02-21,3427.86
2001-02-22,3322.3
2001-02-23,3238.13
2001-02-24,3860.81
2001-02-25,3884.99
2001-02-26,3918.03
2001-02-27,3951.28
2001-02-28,3975.88
2001-03-01,6192.16
2001-03-02,4398.48
2001-03-03,3972.81
2001-03-04,3340.04
2001-03-05,9286.52
2001-03-06,15305.23
2001-03-07,28730.68
2001-03-08,46313.21
2001-03-09,47258.89
2001-03-10,24260.81
2001-03-11,13508.92
2001-03-12,8090.49
2001-03-13,3892.15
2001-03-14,3892.15
2001-03-15,3892.15
2001-03-16,3696.7
2001-03-17,3696.7
2001-03-18,3696.7
2001-03-19,3696.7
2001-03-20,3696.7
2001-03-21,3696.7
2001-03-22,3696.7
2001-03-23,3696.7
2001-03-24,3141.55
2001-03-25,3124.68
2001-03-26,3124.68
2001-03-27,3124.68
2001-03-28,3110.66
2001-03-29,3110.66
2001-03-30,3110.66
2001-03-31,3110.66
2001-04-01,6075.29
2001-04-02,4400.62
2001-04-03,3972.81
2001-04-04,3464.65
2001-04-05,8889.9
2001-04-06,14136.04
2001-04-07,30033.93
2001-04-08,48445.44
2001-04-09,37636.96
2001-04-10,24469.25
2001-04-11,13381.94
2001-04-12,6677.21
2001-04-13,5009.4
2001-04-14,4640.67
2001-04-15,4391.08
2001-04-16,4327.31
2001-04-17,6938.52
2001-04-18,7120.49
2001-04-19,7175.82
2001-04-20,6819.06
2001-04-21,6532.04
2001-04-22,6408.55
2001-04-23,6460.57
2001-04-24,6532.25
2001-04-25,10222.24
2001-04-26,9504.16
2001-04-27,8831.08
2001-04-28,8089.25
2001-04-29,7588.93
2001-04-30,7192.21
2001-05-01,5971.86
2001-05-02,4336.51
2001-05-03,3972.81
2001-05-04,3383.68
2001-05-05,8792.24
